Area,Category,Date,Type,Value
Bankside SE1,Population Density (England & Wales 2011),2018-03,Number,36.248482660215636
Bankside SE1,Median Age,2018-03,Number,33
Bankside SE1,Education Level,2018-03,%,11.451485148514852
Bankside SE1,Total Population,2018-03,Number,206630
